registration_surveyid,genotype,yield_ranked,country_name,crop,year,AeZ,longitude,latitude,zone
854323e3-e7c9-4609-935a-eb5820098feb,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480872,4
854323e3-e7c9-4609-935a-eb5820098feb,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480872,4
854323e3-e7c9-4609-935a-eb5820098feb,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480872,4
ca55af5b-7a33-4933-ab55-74e69af02d70,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.48084,4
ca55af5b-7a33-4933-ab55-74e69af02d70,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.48084,4
ca55af5b-7a33-4933-ab55-74e69af02d70,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.48084,4
4ca10674-e014-436a-aa66-03cb83e41294,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470937,4
4ca10674-e014-436a-aa66-03cb83e41294,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470937,4
4ca10674-e014-436a-aa66-03cb83e41294,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470937,4
4d09c4bf-c047-43bf-86ea-5314ba0a976f,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.90203,-2.487416,4
4d09c4bf-c047-43bf-86ea-5314ba0a976f,wh 302,1,Rwanda,maize,2022,Tropic - cool / humid,29.90203,-2.487416,4
4d09c4bf-c047-43bf-86ea-5314ba0a976f,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90203,-2.487416,4
39243f81-cd70-4420-ad75-8bd0a9a2fc6f,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.90393,-2.481468,4
39243f81-cd70-4420-ad75-8bd0a9a2fc6f,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.90393,-2.481468,4
39243f81-cd70-4420-ad75-8bd0a9a2fc6f,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.90393,-2.481468,4
f23ed665-98ed-4781-9b77-5c4f884d3d70,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.902,-2.487391,4
f23ed665-98ed-4781-9b77-5c4f884d3d70,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.902,-2.487391,4
f23ed665-98ed-4781-9b77-5c4f884d3d70,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.902,-2.487391,4
b9eb1ed2-7b50-4554-be3f-4c7535a4bac5,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90198,-2.487382,4
b9eb1ed2-7b50-4554-be3f-4c7535a4bac5,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.90198,-2.487382,4
b9eb1ed2-7b50-4554-be3f-4c7535a4bac5,rhm 1409,1,Rwanda,maize,2022,Tropic - cool / humid,29.90198,-2.487382,4
00f57956-e1ea-44fe-9630-982d2efac3c8,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90358,-2.476684,4
00f57956-e1ea-44fe-9630-982d2efac3c8,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.90358,-2.476684,4
00f57956-e1ea-44fe-9630-982d2efac3c8,wh 504,1,Rwanda,maize,2022,Tropic - cool / humid,29.90358,-2.476684,4
fd688d89-9e8f-48e3-ab19-e1d3d8f90d0c,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.90381,-2.477762,4
fd688d89-9e8f-48e3-ab19-e1d3d8f90d0c,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.90381,-2.477762,4
fd688d89-9e8f-48e3-ab19-e1d3d8f90d0c,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.90381,-2.477762,4
2edeb6f3-5989-4db3-89e7-5542932c5d73,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.84737,-2.326447,4
2edeb6f3-5989-4db3-89e7-5542932c5d73,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.84737,-2.326447,4
2edeb6f3-5989-4db3-89e7-5542932c5d73,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.84737,-2.326447,4
dbabb3b6-646c-42eb-b470-90bed8b44c4b,wh 507,3,Rwanda,maize,2022,Tropic - cool / humid,29.84735,-2.326546,4
dbabb3b6-646c-42eb-b470-90bed8b44c4b,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.84735,-2.326546,4
dbabb3b6-646c-42eb-b470-90bed8b44c4b,rhm 1409,1,Rwanda,maize,2022,Tropic - cool / humid,29.84735,-2.326546,4
10e2cf53-c4f9-44c0-94bb-ec736a265bd1,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.84731,-2.326542,4
10e2cf53-c4f9-44c0-94bb-ec736a265bd1,wh 509,2,Rwanda,maize,2022,Tropic - cool / humid,29.84731,-2.326542,4
10e2cf53-c4f9-44c0-94bb-ec736a265bd1,ckdhh 160387,3,Rwanda,maize,2022,Tropic - cool / humid,29.84731,-2.326542,4
0f7ab048-c276-4857-a3e4-70b7941f83fc,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326583,4
0f7ab048-c276-4857-a3e4-70b7941f83fc,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326583,4
0f7ab048-c276-4857-a3e4-70b7941f83fc,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326583,4
07c6329c-19e3-451c-8f02-be47dfdec12a,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326612,4
07c6329c-19e3-451c-8f02-be47dfdec12a,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326612,4
07c6329c-19e3-451c-8f02-be47dfdec12a,wh 507,2,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326612,4
32828dc5-0675-4aa2-b9fe-58e44d9e2585,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32656,4
32828dc5-0675-4aa2-b9fe-58e44d9e2585,wh 507,3,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32656,4
32828dc5-0675-4aa2-b9fe-58e44d9e2585,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.32656,4
9d79950c-5f1b-4738-a3e0-ae881143c8b6,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326589,4
9d79950c-5f1b-4738-a3e0-ae881143c8b6,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326589,4
9d79950c-5f1b-4738-a3e0-ae881143c8b6,wh 509,1,Rwanda,maize,2022,Tropic - cool / humid,29.84728,-2.326589,4
cb77872c-4830-45d5-bac1-0716e47afaef,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326588,4
cb77872c-4830-45d5-bac1-0716e47afaef,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326588,4
cb77872c-4830-45d5-bac1-0716e47afaef,ckdhh 170121,3,Rwanda,maize,2022,Tropic - cool / humid,29.84727,-2.326588,4
2d52e103-4c69-4cc4-918d-63f2f94bcc8b,wh 509,3,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326597,4
2d52e103-4c69-4cc4-918d-63f2f94bcc8b,wh 507,1,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326597,4
2d52e103-4c69-4cc4-918d-63f2f94bcc8b,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.84729,-2.326597,4
15e75b8e-e060-4ed5-af6a-2e0a61c676c0,wh 507,1,Rwanda,maize,2022,Tropic - cool / humid,29.84726,-2.326586,4
