"genotype","estimate","SE","quasiSE","quasiVar","environment","ref_gen"
"TMS-13F1343P0002",0.346286839222973,0.965617126192106,0.660483654701536,0.436238658127898,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1343P0022",0.703405265238833,0.953135807332265,0.641768435490199,0.411866724791537,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1343P0044",0.617962999237207,0.875560373205505,0.584882956345744,0.342088072623738,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F2110P0008",-1.30387121509688,1.03661916799276,0.77063555413019,0.593879157289546,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1035P0004",1.05021729027697,0.930423155314703,0.723299554546606,0.523162245607318,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1195P0005",-1.36510703025829,1.01879793772733,0.750940279053517,0.563911302704974,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1223P0007",1.66536343868654,1.0657875619126,0.824893057766146,0.680448556750783,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1287P0008",-0.131047014253878,0.997596089320021,0.719778019591201,0.518080397486632,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1291P0003",0.677078224634851,0.9297381485889,0.661890234110517,0.438098682010875,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1291P0012",1.78119310589654,1.19932635287181,0.970576600837973,0.942018938094193,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1301P0004",0.0011603078611108,0.912490759781618,0.581655281523831,0.338322866524568,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1301P0013",-0.0503612868509283,1.00341197273316,0.728342722171783,0.530483120940603,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1306P0015",0.589024049943808,0.853897565810147,0.556439641786962,0.309625074952002,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1310P0004",-0.0311792523479081,1.07037048737681,0.809360646379982,0.655064655908622,"Benue-2019","IITA-TMS-IBA000070"
"TMS-14F1310P0015",0.872748194357243,1.40127367067446,1.20750188683529,1.45806080671079,"Benue-2019","IITA-TMS-IBA000070"
"TMS-IBA961632",-1.00990491449733,0.916273517176335,0.68914169264731,0.4749162725448,"Benue-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA000070",0,0,0.680530430392333,0.463121666689974,"Benue-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA30572",0.226473149061007,0.980271137248965,0.695599702641038,0.483858946314301,"Benue-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA980581",1.06002092952107,0.896908441857031,0.612754085977918,0.375467569882634,"Benue-2021","IITA-TMS-IBA000070"
"K195",0.88603884261952,0.950163123548572,0.648093498572135,0.420025182891471,"Benue-2021","IITA-TMS-IBA000070"
"TMEB2",0.634157064408934,0.98614354158089,0.676316996430849,0.457404679661245,"Benue-2021","IITA-TMS-IBA000070"
"TMEB419",1.32381673310981,0.905891022828981,0.625410129343861,0.391137829885904,"Benue-2021","IITA-TMS-IBA000070"
"TMEB693",-0.717611252510122,1.19729939549435,0.951927348195045,0.906165676241651,"Benue-2021","IITA-TMS-IBA000070"
"TMEB7",0.76033218874845,1.08682752086998,0.812812093264149,0.660663498956447,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1049P0001",1.05818604844031,1.01213399051206,0.716935408766991,0.513996380343893,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1053P0010",1.3366618483518,1.06283242546639,0.788249441118197,0.621337181423149,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1088P0007",0.087461130053805,0.833572737153564,0.644548373144353,0.415442605323032,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1153P0001",2.02422078507472,1.02239416528489,0.738979928274418,0.546091334392464,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1160P0004",1.62210089898332,0.967517688522794,0.672055069199348,0.451658016036541,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1307P0016",0.569367936480572,0.969878168364494,0.73811824410483,0.544818542280398,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1343P0022",1.18591091627889,0.94457624147211,0.627645736765674,0.393939170880126,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F1343P0044",0.448497610698086,0.990082753848538,0.810237450159709,0.656484725641307,"Benue-2021","IITA-TMS-IBA000070"
"TMS-13F2110P0008",0.928237980031599,1.1434894062654,0.900906527309417,0.811632570948713,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1035P0004",0.451233355531644,0.929193517188617,0.588083295816256,0.34584196281811,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1195P0005",0.33138649399247,0.987228493847667,0.677689871127178,0.459263561428371,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1223P0007",1.06945344410136,0.997349255377381,0.68183762563845,0.464902547736279,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1287P0008",0.693314562523352,1.06719151525406,0.789561796660464,0.6234078307457,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1291P0003",0.705082276197972,0.958868769360811,0.692252466937794,0.479213477981462,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1301P0013",1.0285170383951,0.977271026061964,0.657387898564111,0.432158849178537,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1306P0015",1.4224243345121,0.89310546572634,0.605731653712259,0.366910836308989,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1310P0004",1.06634834232609,0.906482787958009,0.639625694585635,0.409121029174156,"Benue-2021","IITA-TMS-IBA000070"
"TMS-14F1310P0015",0.169141006673578,0.979273519408659,0.743216946491893,0.552371429552733,"Benue-2021","IITA-TMS-IBA000070"
"TMS-IBA961632",2.54847543524256,1.19948044552019,0.959118748434055,0.919908773597708,"Benue-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA000070",0,0,0.764990020381527,0.58520973128333,"Imo-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA30572",-0.0985971819778761,0.980660851775186,0.695482629535892,0.483696087986159,"Imo-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA980581",-2.00453661187884,1.01992073683115,0.762410849441742,0.581270303346479,"Imo-2019","IITA-TMS-IBA000070"
"K195",-2.56740572296354,1.0527888845739,0.717336474740749,0.514571617993486,"Imo-2019","IITA-TMS-IBA000070"
