genotype,estimate,SE,quasiSE,quasiVar,environment,ref_gen
TMS-14F1291P0003,-0.900083478,0.735879999,0.527590314,0.278351539,Benue-2019,IITA-TMS-IBA000070
TMS-14F1291P0012,-2.010547968,0.844862224,0.645996702,0.41731174,Benue-2019,IITA-TMS-IBA000070
TMS-14F1301P0004,0.005649554,0.761599923,0.518704758,0.269054626,Benue-2019,IITA-TMS-IBA000070
TMS-14F1301P0013,0.383734037,0.819800075,0.591805267,0.350233474,Benue-2019,IITA-TMS-IBA000070
TMS-14F1306P0015,-0.553382904,0.761176974,0.525986858,0.276662175,Benue-2019,IITA-TMS-IBA000070
TMS-14F1310P0004,-0.038303804,0.832764984,0.606529043,0.36787748,Benue-2019,IITA-TMS-IBA000070
TMS-14F1310P0015,-0.540057981,0.833772488,0.648787572,0.420925314,Benue-2019,IITA-TMS-IBA000070
TMS-IBA961632,-0.216196483,0.770130393,0.547696534,0.299971493,Benue-2019,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.556444122,0.309630061,Benue-2021,IITA-TMS-IBA000070
IITA-TMS-IBA30572,-0.526673023,0.780881944,0.532589062,0.283651109,Benue-2021,IITA-TMS-IBA000070
IITA-TMS-IBA980581,0.201118953,0.710150075,0.456962638,0.208814853,Benue-2021,IITA-TMS-IBA000070
K195,-1.025360898,0.794786175,0.551213131,0.303835916,Benue-2021,IITA-TMS-IBA000070
TMEB2,0.710912377,0.774021042,0.5146871,0.264902811,Benue-2021,IITA-TMS-IBA000070
TMEB419,0.804040851,0.793438253,0.590919021,0.34918529,Benue-2021,IITA-TMS-IBA000070
TMEB693,-1.32636592,0.854153043,0.638735256,0.407982728,Benue-2021,IITA-TMS-IBA000070
TMEB7,0.397026936,0.813212261,0.571559809,0.326680616,Benue-2021,IITA-TMS-IBA000070
TMS-13F1049P0001,0.460733619,0.798291668,0.554860114,0.307869746,Benue-2021,IITA-TMS-IBA000070
TMS-13F1053P0010,-0.618296282,0.780396043,0.544395112,0.296366037,Benue-2021,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.729283927,0.701420679,0.47983762,0.230244141,Benue-2021,IITA-TMS-IBA000070
TMS-13F1153P0001,-0.036620017,0.777527046,0.518026849,0.268351816,Benue-2021,IITA-TMS-IBA000070
TMS-13F1160P0004,-0.575554815,0.766033354,0.505647849,0.255679747,Benue-2021,IITA-TMS-IBA000070
TMS-13F1307P0016,-0.523390378,0.727459141,0.485435059,0.235647196,Benue-2021,IITA-TMS-IBA000070
TMS-13F1343P0022,-0.355097162,0.756970452,0.491747384,0.24181549,Benue-2021,IITA-TMS-IBA000070
TMS-13F1343P0044,0.150054904,0.740378848,0.546812704,0.299004133,Benue-2021,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.323983615,0.788863685,0.552786704,0.30557314,Benue-2021,IITA-TMS-IBA000070
TMS-14F1035P0004,0.078134331,0.770903346,0.502832092,0.252840113,Benue-2021,IITA-TMS-IBA000070
TMS-14F1195P0005,-0.610684571,0.735040251,0.49810359,0.248107186,Benue-2021,IITA-TMS-IBA000070
TMS-14F1223P0007,0.463633894,0.787581823,0.528026889,0.278812395,Benue-2021,IITA-TMS-IBA000070
TMS-14F1287P0008,-0.319255173,0.749888138,0.519300926,0.269673452,Benue-2021,IITA-TMS-IBA000070
TMS-14F1291P0003,0.570095938,0.763022567,0.526717204,0.277431012,Benue-2021,IITA-TMS-IBA000070
TMS-14F1301P0013,-0.072030113,0.813106924,0.570680312,0.325676018,Benue-2021,IITA-TMS-IBA000070
TMS-14F1306P0015,0.164620362,0.746207045,0.508360135,0.258430027,Benue-2021,IITA-TMS-IBA000070
TMS-14F1310P0004,1.454100765,0.791094878,0.60323223,0.363889123,Benue-2021,IITA-TMS-IBA000070
TMS-14F1310P0015,-0.205309866,0.765048309,0.540219958,0.291837603,Benue-2021,IITA-TMS-IBA000070
TMS-IBA961632,1.253860194,0.864495465,0.644709525,0.415650372,Benue-2021,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.567994248,0.322617466,Imo-2019,IITA-TMS-IBA000070
IITA-TMS-IBA30572,1.053468076,0.79487449,0.589914235,0.347998805,Imo-2019,IITA-TMS-IBA000070
IITA-TMS-IBA980581,-0.086569031,0.750637588,0.556305971,0.309476333,Imo-2019,IITA-TMS-IBA000070
K195,-1.188020486,0.839222325,0.614837725,0.378025428,Imo-2019,IITA-TMS-IBA000070
TMEB2,1.135732452,0.937944399,0.73893863,0.546030299,Imo-2019,IITA-TMS-IBA000070
TMEB419,-0.999780359,0.883701187,0.658376699,0.433459878,Imo-2019,IITA-TMS-IBA000070
TMEB693,-0.378664319,0.860801377,0.634276221,0.402306324,Imo-2019,IITA-TMS-IBA000070
TMEB7,-1.131407993,0.791939754,0.596220581,0.355478981,Imo-2019,IITA-TMS-IBA000070
TMS-13F1049P0001,-0.594638625,0.739992554,0.542987824,0.294835777,Imo-2019,IITA-TMS-IBA000070
TMS-13F1053P0010,0.072655651,0.825522011,0.639783021,0.409322314,Imo-2019,IITA-TMS-IBA000070
TMS-13F1088P0007,-1.533987739,0.925976958,0.706505439,0.499149935,Imo-2019,IITA-TMS-IBA000070
TMS-13F1153P0001,-1.009761121,0.807547698,0.549980924,0.302479016,Imo-2019,IITA-TMS-IBA000070
TMS-13F1160P0004,-1.114226277,0.871156763,0.635138531,0.403400953,Imo-2019,IITA-TMS-IBA000070
TMS-13F1307P0016,1.100488409,0.841810813,0.590852198,0.349106319,Imo-2019,IITA-TMS-IBA000070
TMS-13F1343P0002,-0.982158298,0.837113273,0.584665152,0.34183334,Imo-2019,IITA-TMS-IBA000070
TMS-13F1343P0022,1.309857789,0.87597353,0.632084264,0.399530516,Imo-2019,IITA-TMS-IBA000070
TMS-13F1343P0044,0.060911471,0.83631215,0.583692507,0.340696943,Imo-2019,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.281059285,0.814478887,0.572635212,0.327911086,Imo-2019,IITA-TMS-IBA000070
TMS-14F1035P0004,-0.213609257,0.786359908,0.512899732,0.263066136,Imo-2019,IITA-TMS-IBA000070
TMS-14F1195P0005,0.625845526,0.817616726,0.565581451,0.319882378,Imo-2019,IITA-TMS-IBA000070
TMS-14F1223P0007,0.789323337,0.851372009,0.65339858,0.426929704,Imo-2019,IITA-TMS-IBA000070
TMS-14F1287P0008,-0.392013719,0.835996864,0.588310596,0.346109358,Imo-2019,IITA-TMS-IBA000070
TMS-14F1291P0003,0.739511438,0.87492351,0.679795444,0.462121846,Imo-2019,IITA-TMS-IBA000070
TMS-14F1291P0012,-1.331532767,0.777525338,0.605152417,0.366209448,Imo-2019,IITA-TMS-IBA000070
TMS-14F1301P0004,0.172541514,0.799924913,0.541723598,0.293464456,Imo-2019,IITA-TMS-IBA000070
TMS-14F1301P0013,-0.256950427,0.752133171,0.560889466,0.314596993,Imo-2019,IITA-TMS-IBA000070
TMS-14F1306P0015,-0.750249297,0.91903681,0.701364133,0.491911646,Imo-2019,IITA-TMS-IBA000070
TMS-14F1310P0004,-0.532580416,0.796643878,0.56749114,0.322046194,Imo-2019,IITA-TMS-IBA000070
TMS-14F1310P0015,0.23092269,0.820523044,0.557390207,0.310683843,Imo-2019,IITA-TMS-IBA000070
TMS-IBA961632,-0.568408482,0.835549346,0.574730179,0.330314779,Imo-2019,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.56592056,0.32026608,Imo-2021,IITA-TMS-IBA000070
IITA-TMS-IBA30572,0.464413997,0.777082127,0.511006624,0.26112777,Imo-2021,IITA-TMS-IBA000070
IITA-TMS-IBA980581,1.21047209,0.769267133,0.498184776,0.248188071,Imo-2021,IITA-TMS-IBA000070
K195,0.198931867,0.736591217,0.50361832,0.253631412,Imo-2021,IITA-TMS-IBA000070
TMEB2,-0.55570423,0.819616976,0.567070858,0.321569358,Imo-2021,IITA-TMS-IBA000070
TMEB419,0.241077338,0.74460563,0.529030617,0.279873394,Imo-2021,IITA-TMS-IBA000070
TMEB693,0.156486999,0.713494755,0.459042144,0.21071969,Imo-2021,IITA-TMS-IBA000070
TMEB7,0.26714159,0.7950539,0.532055544,0.283083102,Imo-2021,IITA-TMS-IBA000070
TMS-13F1049P0001,1.248347126,0.792643319,0.534813121,0.286025074,Imo-2021,IITA-TMS-IBA000070
TMS-13F1053P0010,1.475603828,0.749496019,0.525948661,0.276621994,Imo-2021,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.004146519,0.807494334,0.550482818,0.303031333,Imo-2021,IITA-TMS-IBA000070
TMS-13F1153P0001,0.979175535,0.763825406,0.538806358,0.290312292,Imo-2021,IITA-TMS-IBA000070
TMS-13F1160P0004,0.253175832,0.766537017,0.49546908,0.245489609,Imo-2021,IITA-TMS-IBA000070
TMS-13F1307P0016,0.690072425,0.756109765,0.493528242,0.243570126,Imo-2021,IITA-TMS-IBA000070
TMS-13F1343P0022,0.363042183,0.779618923,0.515964539,0.266219405,Imo-2021,IITA-TMS-IBA000070
TMS-13F1343P0044,-0.022747067,0.767660377,0.494124314,0.244158838,Imo-2021,IITA-TMS-IBA000070
TMS-13F2110P0008,1.540726764,0.784409009,0.522350861,0.272850422,Imo-2021,IITA-TMS-IBA000070
TMS-14F1035P0004,0.270412545,0.770391102,0.495944818,0.245961262,Imo-2021,IITA-TMS-IBA000070
TMS-14F1195P0005,0.416744318,0.733515554,0.501996818,0.252000806,Imo-2021,IITA-TMS-IBA000070
TMS-14F1223P0007,0.903342317,0.722487282,0.476793001,0.227331565,Imo-2021,IITA-TMS-IBA000070
TMS-14F1287P0008,0.378005332,0.76587822,0.517569852,0.267878551,Imo-2021,IITA-TMS-IBA000070
TMS-14F1291P0003,0.583891498,0.777243252,0.512029799,0.262174515,Imo-2021,IITA-TMS-IBA000070
TMS-14F1301P0013,0.296968726,0.709296388,0.493553743,0.243595297,Imo-2021,IITA-TMS-IBA000070
TMS-14F1306P0015,-0.266681529,0.756189843,0.514406277,0.264613818,Imo-2021,IITA-TMS-IBA000070
TMS-14F1310P0004,0.867300632,0.77307787,0.537218219,0.288603415,Imo-2021,IITA-TMS-IBA000070
TMS-14F1310P0015,0.160934381,0.766267308,0.500277286,0.250277363,Imo-2021,IITA-TMS-IBA000070
TMS-IBA961632,0.881254484,0.814079766,0.565488421,0.319777155,Imo-2021,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.695397332,0.483577449,Osun-2019,IITA-TMS-IBA000070
IITA-TMS-IBA30572,-0.516484768,0.895185432,0.602952262,0.36355143,Osun-2019,IITA-TMS-IBA000070
IITA-TMS-IBA980581,-0.768743148,0.899664033,0.541523719,0.293247938,Osun-2019,IITA-TMS-IBA000070
K195,-0.516676131,0.849528855,0.528430746,0.279239053,Osun-2019,IITA-TMS-IBA000070
TMEB2,-1.348454337,0.994066378,0.687453276,0.472592007,Osun-2019,IITA-TMS-IBA000070
TMEB419,0.481855451,0.945035349,0.603096772,0.363725716,Osun-2019,IITA-TMS-IBA000070
TMEB693,-0.791476479,0.909661468,0.61883,0.382950569,Osun-2019,IITA-TMS-IBA000070
TMEB7,-0.500848644,0.986349351,0.708164392,0.501496806,Osun-2019,IITA-TMS-IBA000070
TMS-13F1049P0001,-0.533973862,0.900351452,0.542254337,0.294039766,Osun-2019,IITA-TMS-IBA000070
TMS-13F1053P0010,0.92865411,1.184184154,0.936403972,0.876852399,Osun-2019,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.616549346,0.867792893,0.57235984,0.327595786,Osun-2019,IITA-TMS-IBA000070
TMS-13F1153P0001,-0.351393323,0.861898101,0.491230546,0.24130745,Osun-2019,IITA-TMS-IBA000070
TMS-13F1160P0004,-1.142292683,0.973114061,0.657027806,0.431685538,Osun-2019,IITA-TMS-IBA000070
